314: [75.98774618892674,11.252528129834126]
315: [75.99347163709508,11.242040329503112]
316: [76.00198409181544,11.23111996893725]
317: [76.02361964704176,11.211629267749839]
318: [76.04987926773609,11.193574359450356]
319: [76.12220594383882,11.13471866639047]
320: [76.14382806027102,11.115219004515108]
321: [76.16124531391898,11.09705263273387]
322: [76.19271763975209,11.069392838628433]
323: [76.21296646316523,11.0471240879496]
324: [76.24492478252368,11.016704073642043]
325: [76.27633027149398,10.993177899538923]
326: [76.31611884650694,10.967890329164613]
327: [76.3616016185839,10.930723693295693]
328: [76.38040125028891,10.911170604781386]
329: [76.40630410576152,10.879296871308146]
330: [76.44686859640468,10.823237075030173]
331: [76.45256731135775,10.811808428934865]
332: [76.46743845670427,10.768804812249625]
333: [76.46962780851729,10.697187214185213]
334: [76.46634147240175,10.659039582830268]
335: [76.46740721528404,10.64620185311488]
336: [76.47576358661135,10.604495884607864]
337: [76.47884478031712,10.578347742704507]
338: [76.47962071496853,10.54943047915278]
339: [76.4779574753199,10.532419015147628]
340: [76.48210882808868,10.492501120756323]
341: [76.47869767606862,10.465371916882244]
342: [76.47628971381359,10.390949533428525]
343: [76.47274029949116,10.376221104954821]
344: [76.46688105215915,10.361461486260948]
345: [76.44918733720124,10.327291384180448]
346: [76.44513847294552,10.3157735845225]
347: [76.44481744297495,10.303823178267526]
348: [76.45275910598073,10.256596802146243]
349: [76.48085136447463,10.146648732059495]
350: [76.48606856767306,10.093420479109955]
351: [76.48898477680994,10.08150134423704]
352: [76.4946880003414,10.067780692462131]
353: [76.50763720513778,10.027024467276998]
354: [76.52472451672911,9.987231480520698]
355: [76.53321012258826,9.973537578532467]
356: [76.5530932764722,9.933307553112057]
357: [76.56861989890008,9.908648677953627]
358: [76.60521129290801,9.861230593429331]
359: [76.62487147664577,9.839363163488155]
360: [76.64177141482588,9.816095587381865]
361: [76.65909059181561,9.79604745666099]
362: [76.69132100970081,9.764646512036112]
363: [76.73558202760685,9.732897697314549]
364: [76.74632398101878,9.721968468871754]
365: [76.76228308215103,9.699137838733362]
366: [76.79239537679074,9.644277565437374]
367: [76.79989564500173,9.634690488988806]
368: [76.80418974719194,9.620947540621613]
369: [76.80909030888152,9.592962185815969]
370: [76.81382583009379,9.58105642628783]
371: [76.84998468791238,9.522098166776452]
372: [76.86959138460966,9.501131503756211]
373: [76.88976432663256,9.469596735055896]
374: [76.89034845859464,9.455813604145002]
375: [76.8882081524942,9.438333983302364]
376: [76.8837266974616,9.424047022670605]
377: [76.87693102027204,9.410660782631847]
378: [76.86783006401126,9.396797423298473]
